Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Pal K., Campbell J.A.","9532428600;55470023600;","An Application of Rule-Based and Case-Based Reasoning within a Single Legal Knowledge- Based System",1997,"Data Base for Advances in Information Systems","28","4",,"48","63",,20,"10.1145/277339.277344","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0343352087&doi=10.1145%2f277339.277344&partnerID=40&md5=dedbd2800aff58ea3579d9e188a3f1f0","University College London, United Kingdom","Pal, K., University College London, United Kingdom; Campbell, J.A., University College London, United Kingdom","A knowledge-based system, Advisory Support for Home Settlement in Divorce (ASHSD), which gives advice on different aspects of matrimonial-home-settlement in English divorce law is described. The system employs two reasoning methods, rule-based reasoning (RBR) and case-based reasoning (CBR) in an integrated framework. It automates the estimation of the relative suitability of these reasoning methods for any given new case. This relative suitability is judged by matching the features of the selected best case and best rule against the new case. Standard methods of numerical taxonomy are used to determine which of the matches is best, and therefore whether a new case is better solved by calling on rules that express the usual legal knowledge in the area or by referring to a past case that has a interpretation of an ambiguous situation which rules fail to underpin. © 1997, Authors. All rights reserved.","case-based reasoning; Knowledge-based system; law; numerical taxonomy; rule-based reasoning",,"Pal, K.; University College LondonUnited Kingdom",,,00950033,,,,"English","Data Base Adv. Info. Sys.",Article,"Final","",Scopus,2-s2.0-0343352087
"Branting L.K.","6602085801;","A reduction-graph model of precedent in legal analysis",2003,"Artificial Intelligence","150","1-2",,"59","95",,19,"10.1016/S0004-3702(03)00102-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0142197253&doi=10.1016%2fS0004-3702%2803%2900102-4&partnerID=40&md5=7b31b7ac355ff4fc4fcd1f3635351a36","North Carolina State University, Raleigh, NC, United States","Branting, L.K., North Carolina State University, Raleigh, NC, United States","Legal analysis is a task underlying many forms of legal problem solving. In the Anglo-American legal system, legal analysis is based in part on legal precedents, previously decided cases. This paper describes a reduction-graph model of legal precedents that accounts for a key characteristic of legal precedents: a precedent's relevance to subsequent cases is determined by the theory under which the precedent is decided. This paper identifies the implementation requirements for legal analysis using the reduction-graph model of legal precedents and describes GREBE, a program that satisfies these requirements. © 2003 Elsevier B.V. All rights reserved.","Analogy; Case-based reasoning; Legal reasoning; Reduction graph","Graph theory; Knowledge based systems; Laws and legislation; Mathematical models; Problem solving; Legal reasoning; Artificial intelligence","Branting, L.K.; North Carolina State University, Raleigh, NC, United States; email: karl.branting@livewirelogic.com",,,00043702,,AINTB,,"English","Artif Intell",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-0142197253
"Zeleznikow J., Stranieri A., Gawler M.","6701828144;6701581458;6508084459;","Project report: Split-Up - A Legal Expert System which determines property division upon divorce",1995,"Artificial Intelligence and Law","3","4",,"267","275",,19,"10.1007/BF00871852","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029459592&doi=10.1007%2fBF00871852&partnerID=40&md5=2fb69629df7e24a8ef977f5c598df926","Collaborative Law and Artificial Intelligence Research Project, Database Research Laboratory, Applied Computing Research Institute, La Trobe University, Bundoora, 3083, Victoria, Australia","Zeleznikow, J., Collaborative Law and Artificial Intelligence Research Project, Database Research Laboratory, Applied Computing Research Institute, La Trobe University, Bundoora, 3083, Victoria, Australia; Stranieri, A., Collaborative Law and Artificial Intelligence Research Project, Database Research Laboratory, Applied Computing Research Institute, La Trobe University, Bundoora, 3083, Victoria, Australia; Gawler, M., Collaborative Law and Artificial Intelligence Research Project, Database Research Laboratory, Applied Computing Research Institute, La Trobe University, Bundoora, 3083, Victoria, Australia",[No abstract available],"case-based reasoning; divorce; explanation; ID3 algorithm; Legal Expert Systems; neural networks; production rule expert system; property division; sequenced transition networks; Toulmin Argument Structures","Case based reasoning; Divorce; Legal expert systems; Production rule expert system; Property division; Sequenced transition networks; Toulmin argument structures; Algorithms; C (programming language); Computer simulation; Data structures; Interactive computer systems; Laws and legislation; Neural networks; Systems analysis; Expert systems","Zeleznikow, J.; Collaborative Law and Artificial Intelligence Research Project, Database Research Laboratory, , Bundoora, 3083, Victoria, Australia",,"Kluwer Academic Publishers",09248463,,AINLE,,"English","Artif Intell Law",Article,"Final","",Scopus,2-s2.0-0029459592
"Čyras K., Birch D., Guo Y., Toni F., Dulay R., Turvey S., Greenberg D., Hapuarachchi T.","57074054700;55777770700;12765868000;6603756423;57207694570;57207696505;57207696356;57207687108;","Explanations by arbitrated argumentative dispute",2019,"Expert Systems with Applications","127",,,"141","156",,18,"10.1016/j.eswa.2019.03.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062700123&doi=10.1016%2fj.eswa.2019.03.012&partnerID=40&md5=19540ce8473f66db07053588d01e160d","Department of Computing, Imperial College London, 180 Queen's Gate, London, SW7 2AZ, United Kingdom; Thomson Reuters, 5 Canada Square, Canary Wharf, London, E14 5AQ, United Kingdom","Čyras, K., Department of Computing, Imperial College London, 180 Queen's Gate, London, SW7 2AZ, United Kingdom; Birch, D., Department of Computing, Imperial College London, 180 Queen's Gate, London, SW7 2AZ, United Kingdom; Guo, Y., Department of Computing, Imperial College London, 180 Queen's Gate, London, SW7 2AZ, United Kingdom; Toni, F., Department of Computing, Imperial College London, 180 Queen's Gate, London, SW7 2AZ, United Kingdom; Dulay, R., Thomson Reuters, 5 Canada Square, Canary Wharf, London, E14 5AQ, United Kingdom; Turvey, S., Thomson Reuters, 5 Canada Square, Canary Wharf, London, E14 5AQ, United Kingdom; Greenberg, D., Thomson Reuters, 5 Canada Square, Canary Wharf, London, E14 5AQ, United Kingdom; Hapuarachchi, T., Thomson Reuters, 5 Canada Square, Canary Wharf, London, E14 5AQ, United Kingdom","Explaining outputs determined algorithmically by machines is one of the most pressing and studied problems in Artificial Intelligence (AI) nowadays, but the equally pressing problem of using AI to explain outputs determined by humans is less studied. In this paper we advance a novel methodology integrating case-based reasoning and computational argumentation from AI to explain outcomes, determined by humans or by machines, indifferently, for cases characterised by discrete (static) features and/or (dynamic) stages. At the heart of our methodology lies the concept of arbitrated argumentative disputesbetween two fictitious disputants arguing, respectively, for or against a case's output in need of explanation, and where this case acts as an arbiter. Specifically, in explaining the outcome of a case in question, the disputants put forward as arguments relevant cases favouring their respective positions, with arguments/cases conflicting due to their features, stages and outcomes, and the applicability of arguments/cases arbitrated by the features and stages of the case in question. We in addition use arbitrated dispute trees to identify the excess features that help the winning disputant to win the dispute and thus complement the explanation. We evaluate our novel methodology theoretically, proving desirable properties thereof, and empirically, in the context of primary legislation in the United Kingdom (UK), concerning the passage of Bills that may or may not become laws. High-level factors underpinning a Bill's passage are its content-agnostic features such as type, number of sponsors, ballot order, as well as the UK Parliament's rules of conduct. Given high numbers of proposed legislation (hundreds of Bills a year), it is hard even for legal experts to explain on a large scale why certain Bills pass or not. We show how our methodology can address this problem by automatically providing high-level explanations of why Bills pass or not, based on the given Bills and their content-agnostic features. © 2019 Elsevier Ltd","Argumentation; Explanation; Legislative data","Case based reasoning; Argumentation; Explanation; High-level factors; Legal experts; Legislative data; Novel methodology; United kingdom; Laws and legislation","Čyras, K.; Department of Computing, 180 Queen's Gate, United Kingdom; email: k.cyras@imperial.ac.uk",,"Elsevier Ltd",09574174,,ESAPE,,"English","Expert Sys Appl",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85062700123
"Zhang N., Pu Y.-F., Yang S.-Q., Zhou J.-L., Gao J.-K.","55187554700;7103191447;57195550226;21234416400;57190212687;","An Ontological Chinese Legal Consultation System",2017,"IEEE Access","5",,"8016577","18250","18261",,18,"10.1109/ACCESS.2017.2745208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028734423&doi=10.1109%2fACCESS.2017.2745208&partnerID=40&md5=6b19da7ce1ec38d293d9b7dd3f74fa8a","Library of Sichuan University, Chengdu, 610064, China; College of Computer Science, Sichuan University, Chengdu, 610064, China; School of Law, Sichuan University, Chengdu, 610064, China; School of Computer Science, Chengdu University of Information Technology, Chengdu, 610225, China; School of Law, Southwestern University of Finance and Economics, Chengdu, 611130, China","Zhang, N., Library of Sichuan University, Chengdu, 610064, China; Pu, Y.-F., College of Computer Science, Sichuan University, Chengdu, 610064, China; Yang, S.-Q., School of Law, Sichuan University, Chengdu, 610064, China; Zhou, J.-L., School of Computer Science, Chengdu University of Information Technology, Chengdu, 610225, China; Gao, J.-K., School of Law, Southwestern University of Finance and Economics, Chengdu, 611130, China","We propose an ontological Chinese legal consultation system (CLCS) based on Chinese legal characteristics by integrating statutes and judicial precedents to facilitate the retrieval of relevant statutes and judgments for the general public. Ontology, an emerging research topic in recent years, incorporates a hierarchical structure and supports logical reasoning, which can reduce semantic ambiguities and extract implied semantic information. We constructed statutes ontology and a case ontology using a bottom-up method and a top-down method, respectively. Then, to test the retrieval precision of the proposed CLCS, we performed experiments using emotional damage compensation as an example by combining genetic algorithm and k-nearest neighbor approaches. Experimental results demonstrate that the proposed method improves retrieval precision. © 2013 IEEE.","Case similarity; google distance; legal ontology; legal retrieval; semantic recognition","Data mining; Genetic algorithms; Nearest neighbor search; Semantics; Case similarity; Google distances; Legal ontology; Legal Retrieval; Semantic recognition; Ontology","Zhang, N.; Library of Sichuan UniversityChina; email: zhangni77@yeah.net",,"Institute of Electrical and Electronics Engineers Inc.",21693536,,,,"English","IEEE Access",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85028734423
"Ashley K.D., Desai R., Levine J.M.","7005232254;56890538300;7403579715;","Teaching case-based argumentation concepts using dialectic arguments vs. didactic explanations",2002,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","2363",,,"585","595",,18,"10.1007/3-540-47987-2_60","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943266385&doi=10.1007%2f3-540-47987-2_60&partnerID=40&md5=a6815e646f8f90c89c684079d7a1066f","Learning Research and Development Center, University of Pittsburgh, Pittsburgh, PA  15260, United States","Ashley, K.D., Learning Research and Development Center, University of Pittsburgh, Pittsburgh, PA  15260, United States; Desai, R., Learning Research and Development Center, University of Pittsburgh, Pittsburgh, PA  15260, United States; Levine, J.M., Learning Research and Development Center, University of Pittsburgh, Pittsburgh, PA  15260, United States","We compared two automated approaches to teaching distinguishing, a fundamental skill of case-based reasoning that involves assessing the relevant differences among cases in a context-sensitive way. The approaches are implemented in two versions of CATO, an ITS designed to teach law students basic skills of case-based legal argument. The original version of CATO employed a didactic explanatory dialogue. The newer version, CATO-Dial, teaches the same skill with a simulated dialectic argument in a courtroom setting. Our hypothesis was that students would learn better by engaging in the simulated argument than by receiving interactive explanation. We showed that students in the dialectic argument simulation group performed significantly better on certain sections of the post-test aimed at assessing transfer of their skills of distinguishing. © Springer-Verlag Berlin Heidelberg 2002.",,"Computer aided instruction; Intelligent vehicle highway systems; Students; Automated approach; Case based; Context sensitive; Legal arguments; Post test; Case based reasoning","Ashley, K.D.; Learning Research and Development Center, United States; email: ashley@pitt.edu","Cerri S.A.Paraguacu F.Gouarderes G.Paraguacu F.","Springer Verlag",03029743,9783540437505,,,"English","Lect. Notes Comput. Sci.",Conference Paper,"Final","",Scopus,2-s2.0-84943266385
"Atkinson K., Bench-Capon T., Bollegala D.","35609745200;7004514001;13006618600;","Explanation in AI and law: Past, present and future",2020,"Artificial Intelligence","289",,"103387","","",,17,"10.1016/j.artint.2020.103387","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091241809&doi=10.1016%2fj.artint.2020.103387&partnerID=40&md5=c93bc6e551922b0a4248ea0f1dcf6c14","Department of Computer Science, University of Liverpool, Liverpool, United Kingdom","Atkinson, K., Department of Computer Science, University of Liverpool, Liverpool, United Kingdom; Bench-Capon, T., Department of Computer Science, University of Liverpool, Liverpool, United Kingdom; Bollegala, D., Department of Computer Science, University of Liverpool, Liverpool, United Kingdom","Explanation has been a central feature of AI systems for legal reasoning since their inception. Recently, the topic of explanation of decisions has taken on a new urgency, throughout AI in general, with the increasing deployment of AI tools and the need for lay users to be able to place trust in the decisions that the support tools are recommending. This paper provides a comprehensive review of the variety of techniques for explanation that have been developed in AI and Law. We summarise the early contributions and how these have since developed. We describe a number of notable current methods for automated explanation of legal reasoning and we also highlight gaps that must be addressed by future systems to ensure that accurate, trustworthy, unbiased decision support can be provided to legal professionals. We believe that insights from AI and Law, where explanation has long been a concern, may provide useful pointers for future development of explainable AI. © 2020 Elsevier B.V.","AI and law; Case-based reasoning; Computational models of argument; Explainable AI","Artificial intelligence; AI and law; AI systems; Decision supports; Legal reasoning; Support tool; Decision support systems","Atkinson, K.; Department of Computer Science, United Kingdom; email: K.M.Atkinson@liverpool.ac.uk",,"Elsevier B.V.",00043702,,AINTB,,"English","Artif Intell",Article,"Final","",Scopus,2-s2.0-85091241809
"Rodrigues C.M.D.O., Freitas F.L.G.D., Barreiros E.F.S., Azevedo R.R.D., de Almeida Filho A.T.","36458065600;25640711800;35301944500;35113016800;57208210588;","Legal ontologies over time: A systematic mapping study",2019,"Expert Systems with Applications","130",,,"12","30",,16,"10.1016/j.eswa.2019.04.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064134135&doi=10.1016%2fj.eswa.2019.04.009&partnerID=40&md5=872cbd550ecff2034a0a1bcf218cea1d","University of Pernambuco, Garanhuns-PE, ZIP 55294-902, Brazil; Federal University of Pernambuco, Center of Informatics (CIn/UFPE) P.O. Box 7851, Recife-PE, Brazil; Federal Rural University of Pernambuco, (UAG) ZIP 55292-270, Garanhuns-PE, Brazil","Rodrigues, C.M.D.O., University of Pernambuco, Garanhuns-PE, ZIP 55294-902, Brazil, Federal University of Pernambuco, Center of Informatics (CIn/UFPE) P.O. Box 7851, Recife-PE, Brazil; Freitas, F.L.G.D., Federal University of Pernambuco, Center of Informatics (CIn/UFPE) P.O. Box 7851, Recife-PE, Brazil; Barreiros, E.F.S., University of Pernambuco, Garanhuns-PE, ZIP 55294-902, Brazil; Azevedo, R.R.D., Federal Rural University of Pernambuco, (UAG) ZIP 55292-270, Garanhuns-PE, Brazil; de Almeida Filho, A.T., University of Pernambuco, Garanhuns-PE, ZIP 55294-902, Brazil","Over the last 30 years, AI & Law has provided breakthroughs in studies involving case-based reasoning, rule-based reasoning, information retrieval and, most recently, conceptual models for knowledge representation and reasoning, known as Legal Ontologies. Ontologies have been widely used by legal practitioners, scholars, and lay people in a variety of situations, such as simulating legal actions, semantic search and indexing, and to keep up-to-date with the continual change of laws and regulations. Given the high number of legal ontologies produced, the need to summarize this research realm through a well-defined methodological procedure is urgent need. This study presents the results of a systematic mapping of the literature, aiming at categorizing legal ontologies along certain dimensions, such as purpose, level of generality, underlying legal theories, among other aspects. The reasons to carry out a systematic mapping are twofold: in addition to explaining the maturation of the area over recent decades, it helps to avoid the old problem of reinventing the wheel. Through organizing and classifying what has already been produced, it is possible to realize that the development of legal ontologies can rise to the level of reusability where prefabricated models might be coupled with new and more complex ontologies for practical law. © 2019 Elsevier Ltd","Legal expert system; Legal ontology; Legal theory; Semantic web; Systematic mapping study","Case based reasoning; Expert systems; Knowledge representation; Mapping; Ontology; Reusability; Semantic Web; Conceptual model; Knowledge representation and reasoning; Laws and regulations; Legal ontology; Legal theory; Rule based reasoning; Systematic mapping; Systematic mapping studies; Laws and legislation","Rodrigues, C.M.D.O.; Federal University of Pernambuco, Center of Informatics (CIn/UFPE) P.O. Box 7851, Brazil; email: cleyton.rodrigues@upe.br",,"Elsevier Ltd",09574174,,ESAPE,,"English","Expert Sys Appl",Article,"Final","",Scopus,2-s2.0-85064134135
"Ma Y., Zhang P., Ma J.","8348553300;36040790900;57204686839;","An Ontology Driven Knowledge Block Summarization Approach for Chinese Judgment Document Classification",2018,"IEEE Access","6",,"8537891","71327","71338",,16,"10.1109/ACCESS.2018.2881682","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056730809&doi=10.1109%2fACCESS.2018.2881682&partnerID=40&md5=674a87defdf9070e145f3b32dd2a12ab","School of Control and Computer Engineering, North China Electric Power University, Beijing, 102206, China; School of Law, Renmin University of China, Beijing, 100872, China","Ma, Y., School of Control and Computer Engineering, North China Electric Power University, Beijing, 102206, China; Zhang, P., School of Control and Computer Engineering, North China Electric Power University, Beijing, 102206, China; Ma, J., School of Law, Renmin University of China, Beijing, 100872, China","Efficient document classification techniques are crucial to current legal applications, such as case-based reasoning, legal citations, and so on. However, Chinese judgment documents are large and highly complex, so the traditional machine leaning-based classification models are often inefficient to Chinese document classification due to the fact that they fail to incorporate the overall structure and extra domain specific knowledge. In this paper, we propose an ontology-driven knowledge block summarization approach to computing document similarity for Chinese judgment document classification. First, the extra semantic knowledge for Chinese judgment documents is adopted from the perspectives of the top-level ontology and domain-specific ontologies, where how to merge the different kinds of ontologies together in an extensible manner is further represented. Second, the core semantic knowledge residing in Chinese judgment documents can be summarized into knowledge blocks by ontology-based information extraction. Third, we use Word Mover's Distance (WMD) is to calculate the similarity between different knowledge blocks instead of their original Chinese judgment documents. At last, the KNN-based experiments for Chinese judgment document classification were made to illustrate that our approach is more effective in achieving higher classification accuracy and has faster computation speed compared to the original WMD approach. © 2018 IEEE.","Document classification; document similarity; domain ontology; WMD","Case based reasoning; Classification (of information); Data mining; Information retrieval; Natural language processing systems; Neural networks; Ontology; Semantics; Classification accuracy; Computational model; Document Classification; Document similarity; Domain ontologies; Domain-specific knowledge; Domain-specific ontologies; Ontology-based information extraction; Information retrieval systems","Ma, Y.; School of Control and Computer Engineering, China; email: yinglongma@gmail.com",,"Institute of Electrical and Electronics Engineers Inc.",21693536,,,,"English","IEEE Access",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85056730809
"Walton D.N.","57203043668;","Argumentation Schemes for Argument from Analogy",2014,"Argumentation Library","25",,,"23","40",,16,"10.1007/978-3-319-06334-8_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094963439&doi=10.1007%2f978-3-319-06334-8_2&partnerID=40&md5=4c563faa628e6ddae77348757e59ebc5","Centre for Research in Reasoning, Argumentation and Rhetoric, University of Windsor, Windsor, ON, Canada","Walton, D.N., Centre for Research in Reasoning, Argumentation and Rhetoric, University of Windsor, Windsor, ON, Canada","In this paper I show how there are two different argumentation schemes for argument from analogy, and show by means of examples how each scheme applies to different cases in its own distinctive way. One scheme is based on similarity, while the other scheme is based on factors shared or not shared by two cases that are being compared. The problem confronted in the paper is to study how the two schemes fit together. Are there really two different schemes for argument from analogy, or is the one scheme an extension of the other that applies at a different dialectical stage of the argumentation in a case? Since argument from analogy is fundamental in case-based reasoning and legal reasoning, there is some discussion of how the schemes fit into both topics. © 2014, Springer International Publishing Switzerland.","Artificial intelligence; Case-based reasoning; Legal rhetoric; Scripts; Story schemes",,"Walton, D.N.; Centre for Research in Reasoning, Canada; email: waltoncrrar@gmail.com",,"Springer Nature",15667650,,,,"English","Argument. Lib.",Book Chapter,"Final","All Open Access, Green",Scopus,2-s2.0-85094963439
"Rissland Edwina L., Daniels Jody J.","6701660287;7202376659;","Hybrid CBR-IR approach to legal information retrieval",1995,"Proceedings of the International Conference on Artificial Intelligence and Law",,,,"52","61",,16,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029191240&partnerID=40&md5=db99771db75099374b3d6b7f7451ab1b","Univ of Massachusetts, Amherst, United States","Rissland, Edwina L., Univ of Massachusetts, Amherst, United States; Daniels, Jody J., Univ of Massachusetts, Amherst, United States","In this paper we discuss a hybrid approach combining Case-Based Reasoning (CBR) and Information Retrieval (IR) for the retrieval of legal documents. Our hybrid CBR-IR approach takes as input a standard symbolic representation of a problem case and retrieves texts of relevant cases from a document corpus dramatically larger than the case base available to the CBR system. Our system works by first performing a standard HYPO-style CBR analysis and then using texts associated with certain important classes of cases found in this analysis to 'seed' a modified version of INQUERY's relevance feedback mechanism in order to generate a query. Our approach provides two benefits: it extends the reach of CBR (for retrieval purposes) to much larger corpora, and it enables the injection of knowledge-based techniques into traditional IR. We describe our CBR-IR approach and report on on-going experiments performed in two different legal domains.",,"Database systems; Information retrieval; Information retrieval systems; Laws and legislation; Query languages; Case based reasoning; Legal information retrieval; Precedents; Knowledge based systems","Rissland, Edwina L.; Univ of Massachusetts, Amherst, United States","Anon","ACM, New York, NY, United States",,,85OAA,,"English","Proc Int Conf Artif Intell Law",Conference Paper,"Final","",Scopus,2-s2.0-0029191240
"Vossos G., Zeleznikow J., Vossos T.D.V.","16416085700;6701828144;57204195773;","An example of integrating legal case based reasoning with object-oriented rule-based systems: IKBALS II",1991,"Proceedings of the International Conference on Artificial Intelligence and Law",,,,"31","41",,16,"10.1145/112646.112650","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885911666&doi=10.1145%2f112646.112650&partnerID=40&md5=00d67f14b6a861ec214d6af991633ea7","Database Research Laboratory, Applied Computing Research Institute, La Trobe University, Bundoora, VIC  3083, Australia","Vossos, G., Database Research Laboratory, Applied Computing Research Institute, La Trobe University, Bundoora, VIC  3083, Australia; Zeleznikow, J., Database Research Laboratory, Applied Computing Research Institute, La Trobe University, Bundoora, VIC  3083, Australia; Vossos, T.D.V., Database Research Laboratory, Applied Computing Research Institute, La Trobe University, Bundoora, VIC  3083, Australia","Although case based reasoning (CBR) is still a research paradigm, it has been shown to offer significant advantages over conventional rulebased expert systems when attempting to reason through experience. This paper discusses extending an existing legal object-oriented/rulebased system to successfully handle CBR. In particular, we discuss the architecture of IKBALS H, a legal knowledge based system that performs statutory interpretation in the area of accident compensation. IKBALS II combines reasoning with rules and reasoning with previously tried precedent cases in order to determine if an injured employee is entitled to compensation under the Accident Compensation Act, 1985, Victoria. A worker is entitled to compensation only if the Accident Compensation Commission is satisfied that the worker falls within certain statutory definitions. © ACM.","Case based reasoning; Combining rulebased and case-based reasoning; Integrating case based reasoning into object oriented/rule based systems; Legal analogical reasoning; Legal knowledge based systems","Accidents; Expert systems; Analogical reasoning; Casebased reasonings (CBR); Legal case; Legal knowledge; Object oriented; Rule based; Rule-based expert system; Case based reasoning",,,"Association for Computing Machinery",,089791399X; 9780897913997,85OAA,,"English","Proc Int Conf Artif Intell Law",Conference Paper,"Final","",Scopus,2-s2.0-84885911666
"Walker R.F., Oskamp A., Schrickx J.A., Van Opdorp G.J., van den Berg P.H.","26434072500;6602281906;36965679100;25933688600;36880891600;","PROLEXS: Creating law and order in a heterogeneous domain",1991,"International Journal of Man-Machine Studies","35","1",,"35","67",,16,"10.1016/S0020-7373(07)80007-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0343331606&doi=10.1016%2fS0020-7373%2807%2980007-1&partnerID=40&md5=9db2aff233133ea3b5e7d7dd2706a236","Computer/Law Institute, Vrije Universiteit, De Boelelaan 1105, 1081 HV Amsterdam, Netherlands","Walker, R.F., Computer/Law Institute, Vrije Universiteit, De Boelelaan 1105, 1081 HV Amsterdam, Netherlands; Oskamp, A., Computer/Law Institute, Vrije Universiteit, De Boelelaan 1105, 1081 HV Amsterdam, Netherlands; Schrickx, J.A., Computer/Law Institute, Vrije Universiteit, De Boelelaan 1105, 1081 HV Amsterdam, Netherlands; Van Opdorp, G.J., Computer/Law Institute, Vrije Universiteit, De Boelelaan 1105, 1081 HV Amsterdam, Netherlands; van den Berg, P.H., Computer/Law Institute, Vrije Universiteit, De Boelelaan 1105, 1081 HV Amsterdam, Netherlands","This article defines a heterogeneous domain as a domain in which typical problems can only be solved by combining several distinctive knowledge sources. The legal domain, in this view, must be considered heterogeneous since classical rule-based knowledge sources like legislation, cooperate with expertise and case-law, both possibly represented quite differently, to produce useful results. The article continues with the description of the architecture of PROLEXS, an expert system built to operate in such domains. An example dialogue is added to sketch the problems of building knowledge-based systems in heterogeneous domains and the way PROLEXS approaches those problems. Finally the current PROLEXS research involving neural networks and case-based reasoning is introduced. © 1991 Academic Press Limited.",,,"Walker, R.F.; Computer/Law Institute, Vrije Universiteit, De Boelelaan 1105, 1081 HV Amsterdam, Netherlands",,,00207373,,IJMMB,,"English","Int. J. Man-Mach. Stud.",Article,"Final","",Scopus,2-s2.0-0343331606
"Berman D.H., Hafner C.D.","7201609499;7004463232;","Incorporating procedural context into a model of case-based legal reasoning",1991,"Proceedings of the International Conference on Artificial Intelligence and Law",,,,"12","20",,15,"10.1145/112646.112648","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002773676&doi=10.1145%2f112646.112648&partnerID=40&md5=63444f805da7a315d8d2160fad4a781d","School of Law, Northeastern University, Boston, MA  02115, United States; College of Computer Science, Northeastern University, Boston, MA  02115, United States","Berman, D.H., School of Law, Northeastern University, Boston, MA  02115, United States; Hafner, C.D., College of Computer Science, Northeastern University, Boston, MA  02115, United States","In this paper we analyze the procedural considerations that affect the use of legal cases as precedents and propose a model of procedural knowledge that can be combined with substantive legal reasoning models to produce a more robust theory of case-based legal reasoning in common law jurisdictions. Our model addresses one component of procedural knowledge: the distinction between questions of fact and questions of law. We categorize 32 different procedural scenarios into 10 basic types of legal results. We then propose rules for determining the precedential value of these result types. Finally we suggest a method for incorporating procedural distinctions into case-based reasoning systems. © ACM.",,"Knowledge based systems; Case based; Case based reasoning systems; Common law; Legal case; Legal reasoning; Procedural knowledge; Case based reasoning",,,"Association for Computing Machinery",,089791399X; 9780897913997,85OAA,,"English","Proc Int Conf Artif Intell Law",Conference Paper,"Final","",Scopus,2-s2.0-0002773676
"Skalak D.B.","6506989205;","Taking advantage of models for legal classification",1989,"Proceedings of the International Conference on Artificial Intelligence and Law","Part F130177",,,"234","241",,15,"10.1145/74014.74044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0008205730&doi=10.1145%2f74014.74044&partnerID=40&md5=bf3cd28b953151460ca01ebeff372a3d","Department of Computer and Information Science, University of Massachusetts, Amherst, MA  01003, United States","Skalak, D.B., Department of Computer and Information Science, University of Massachusetts, Amherst, MA  01003, United States","Legal reasoning is often couched in terms of legal classification. We examine how three models of classification-Classical, Probabilistic and Exemplar-are used to perform legal classification. We argue that all three models of classification are implicitly applied by existing AI methods. The CABARET (""CAse-BAsed REasoning Tool"") system is suggested as an architecture that applies all three models. The relative difficulty of revising knowledge in rule form, in HYPO-style dimension form, and exemplar form is considered. © ACM.",,"Artificial intelligence; Case-based reasoning tools; Legal reasoning; Three models; Case based reasoning","Skalak, D.B.; Department of Computer and Information Science, United States; email: skalak@cs.umass.edu",,"Association for Computing Machinery",,0897913221,85OAA,,"English","Proc Int Conf Artif Intell Law",Conference Paper,"Final","",Scopus,2-s2.0-0008205730
